Passport,Destination,Requirement,duration,passport-id
Afghanistan,Iraq,visa required,0,78
Afghanistan,Ireland,visa required,0,79
Afghanistan,Israel,visa required,0,80
Afghanistan,Italy,visa required,0,81
Afghanistan,Jamaica,visa required,0,82
Afghanistan,Japan,visa required,0,83
Afghanistan,Jordan,visa required,0,84
Afghanistan,Kazakhstan,visa required,0,85
Afghanistan,Kenya,e-visa,90,86
Afghanistan,Kiribati,visa required,0,87
Afghanistan,Kosovo,visa required,0,88
Afghanistan,Kuwait,visa required,0,89
Afghanistan,Kyrgyzstan,e-visa,0,90
Afghanistan,Laos,visa required,0,91
Afghanistan,Latvia,visa required,0,92
Afghanistan,Lebanon,visa required,0,93
Afghanistan,Lesotho,e-visa,14,94
Afghanistan,Liberia,visa required,0,95
Afghanistan,Libya,visa required,0,96
Afghanistan,Liechtenstein,visa required,0,97
Afghanistan,Lithuania,visa required,0,98
Afghanistan,Luxembourg,visa required,0,99
Afghanistan,Macao,visa on arrival,30,100
Afghanistan,Madagascar,visa on arrival,90,101
Afghanistan,Malawi,e-visa,90,102
Afghanistan,Malaysia,e-visa,30,103
Afghanistan,Maldives,visa on arrival,30,104
Afghanistan,Mali,visa required,0,105
Afghanistan,Malta,visa required,0,106
Afghanistan,Marshall Islands,visa required,0,107
Afghanistan,Mauritania,visa on arrival,0,108
Afghanistan,Mauritius,visa required,0,109
Afghanistan,Mexico,visa required,0,110
Afghanistan,Moldova,e-visa,0,111
Afghanistan,Monaco,visa required,0,112
Afghanistan,Mongolia,visa required,0,113
Afghanistan,Montenegro,visa required,0,114
Afghanistan,Morocco,visa required,0,115
Afghanistan,Mozambique,visa on arrival,30,116
Afghanistan,Myanmar,visa required,0,117
Afghanistan,Namibia,visa required,0,118
Afghanistan,Nauru,visa required,0,119
Afghanistan,Nepal,visa required,0,120
Afghanistan,Netherlands,visa required,0,121
Afghanistan,New Zealand,visa required,0,122
Afghanistan,Nicaragua,visa required,0,123
Afghanistan,Niger,visa required,0,124
Afghanistan,Nigeria,e-visa,0,125
Afghanistan,North Korea,visa required,0,126
Afghanistan,North Macedonia,visa required,0,127
Afghanistan,Norway,visa required,0,128
Afghanistan,Oman,e-visa,0,129
Afghanistan,Pakistan,e-visa,0,130
Afghanistan,Palau,visa on arrival,30,131
Afghanistan,Palestine,visa required,0,132
Afghanistan,Panama,visa required,0,133
Afghanistan,Papua New Guinea,e-visa,0,134
Afghanistan,Paraguay,visa required,0,135
Afghanistan,Peru,visa required,0,136
Afghanistan,Philippines,visa required,0,137
Afghanistan,Poland,visa required,0,138
Afghanistan,Portugal,visa required,0,139
Afghanistan,Qatar,visa required,0,140
Afghanistan,Romania,visa required,0,141
Afghanistan,Russia,visa required,0,142
Afghanistan,Rwanda,visa on arrival,30,143
Afghanistan,Saint Kitts and Nevis,e-visa,0,144
Afghanistan,Saint Lucia,visa required,0,145
Afghanistan,Samoa,visa on arrival,90,146
Afghanistan,San Marino,visa required,0,147
Afghanistan,Sao Tome and Principe,e-visa,0,148
Afghanistan,Saudi Arabia,visa required,0,149
Afghanistan,Senegal,visa required,0,150
Afghanistan,Serbia,visa required,0,151
Afghanistan,Sierra Leone,e-visa,0,152
Afghanistan,Singapore,e-visa,0,153
Afghanistan,Slovakia,visa required,0,154
Afghanistan,Slovenia,visa required,0,155
Afghanistan,Solomon Islands,visa required,0,156
Afghanistan,Somalia,visa required,0,157
Afghanistan,South Africa,visa required,0,158
Afghanistan,South Korea,e-visa,0,159
Afghanistan,South Sudan,e-visa,0,160
Afghanistan,Spain,visa required,0,161
Afghanistan,Sri Lanka,e-visa,30,162
Afghanistan,Saint Vincent and the Grenadines,visa required,0,163
Afghanistan,Sudan,visa required,0,164
Afghanistan,Suriname,e-visa,90,165
Afghanistan,Sweden,visa required,0,166
Afghanistan,Switzerland,visa required,0,167
Afghanistan,Syria,visa required,0,168
Afghanistan,Taiwan,visa required,0,169
Afghanistan,Tajikistan,e-visa,0,170
Afghanistan,Tanzania,e-visa,0,171
Afghanistan,Thailand,visa required,0,172
Afghanistan,Timor-Leste,visa on arrival,30,173
Afghanistan,Togo,visa on arrival,15,174
Afghanistan,Tonga,visa required,0,175
Afghanistan,Trinidad and Tobago,visa required,0,176
Afghanistan,Tunisia,visa required,0,177
Afghanistan,Turkmenistan,visa required,0,178
Afghanistan,Tuvalu,visa on arrival,30,179
Afghanistan,Turkey,visa required,0,180
Afghanistan,Uganda,e-visa,0,181
Afghanistan,Ukraine,visa required,0,182
Afghanistan,United Arab Emirates,visa required,0,183
Afghanistan,United Kingdom,visa required,0,184
Afghanistan,United States,visa required,0,185
Afghanistan,Uruguay,visa required,0,186
Afghanistan,Uzbekistan,e-visa,0,187
Afghanistan,Vanuatu,visa required,0,188
Afghanistan,Vatican,visa required,0,189
Afghanistan,Venezuela,visa required,0,190
Afghanistan,Vietnam,e-visa,90,191
Afghanistan,Yemen,visa required,0,192
Afghanistan,Zambia,e-visa,0,193
Afghanistan,Zimbabwe,e-visa,0,194
Afghanistan,Afghanistan,-1,0,195
Afghanistan,Dominica,-1,0,196
Afghanistan,Haiti,-1,0,197
Afghanistan,Seychelles,-1,0,198
Albania,Albania,-1,0,199
Albania,Algeria,visa required,0,200
Albania,Andorra,-1,0,201
Albania,Angola,visa required,0,202
Albania,Antigua and Barbuda,-1,0,203
Albania,Argentina,visa required,0,204
Albania,Armenia,-1,0,205
Albania,Australia,e-visa,0,206
Albania,Austria,-1,0,207
Albania,Azerbaijan,e-visa,30,208
Albania,Bahamas,e-visa,0,209
Albania,Bahrain,e-visa,0,210
Albania,Bangladesh,visa on arrival,30,211
Albania,Barbados,-1,0,212
Albania,Belarus,-1,0,213
Albania,Belgium,-1,0,214
Albania,Belize,visa required,0,215
Albania,Benin,e-visa,0,216
Albania,Bhutan,e-visa,0,217
Albania,Bolivia,visa on arrival,90,218
Albania,Bosnia and Herzegovina,-1,0,219
Albania,Botswana,e-visa,0,220
Albania,Brazil,-1,0,221
Albania,Brunei,visa required,0,222
Albania,Bulgaria,-1,0,223
Albania,Burkina Faso,e-visa,0,224
Albania,Burundi,visa on arrival,30,225
Albania,Cambodia,visa on arrival,30,226
Albania,Cameroon,e-visa,0,227
Albania,Canada,visa required,0,228
Albania,Cape Verde,visa on arrival,0,229
Albania,Central African Republic,visa required,0,230
Albania,Chad,visa required,0,231
Albania,Chile,-1,0,232
Albania,China,-1,0,233
Albania,Colombia,-1,0,234
Albania,Comoros,visa on arrival,45,235
Albania,Congo,visa required,0,236
Albania,DR Congo,e-visa,90,237
Albania,Costa Rica,visa required,0,238
Albania,Ivory Coast,e-visa,90,239
Albania,Croatia,-1,0,240
Albania,Cuba,visa required,30,241
Albania,Cyprus,-1,0,242
Albania,Czech Republic,-1,0,243
Albania,Denmark,-1,0,244
Albania,Djibouti,e-visa,90,245
Albania,Dominican Republic,visa free,0,246
Albania,Ecuador,e-visa,0,247
Albania,Egypt,visa on arrival,30,248
Albania,El Salvador,-1,0,249
Albania,Equatorial Guinea,e-visa,0,250
Albania,Eritrea,visa required,0,251
Albania,Estonia,-1,0,252
Albania,Swaziland,visa required,0,253
Albania,Ethiopia,e-visa,90,254
Albania,Fiji,visa required,0,255
Albania,Finland,-1,0,256
Albania,France,-1,0,257
Albania,Gabon,e-visa,90,258
Albania,Gambia,-1,0,259
Albania,Georgia,-1,0,260
Albania,Germany,-1,0,261
Albania,Ghana,visa required,0,262
Albania,Greece,-1,0,263
Albania,Grenada,visa required,0,264
Albania,Guatemala,visa required,0,265
Albania,Guinea,e-visa,90,266
Albania,Guinea-Bissau,visa on arrival,90,267
Albania,Guyana,-1,0,268
Albania,Honduras,visa required,0,269
Albania,Hong Kong,-1,0,270
Albania,Hungary,-1,0,271
Albania,Iceland,-1,0,272
Albania,India,e-visa,30,273
Albania,Indonesia,visa on arrival,30,274
Albania,Iran,visa on arrival,30,275
Albania,Iraq,visa required,0,276
Albania,Ireland,visa required,0,277
Albania,Israel,-1,0,278
Albania,Italy,-1,0,279
Albania,Jamaica,visa on arrival,30,280
Albania,Japan,visa required,0,281
Albania,Jordan,visa on arrival,0,282
Albania,Kazakhstan,-1,0,283
Albania,Kenya,e-visa,90,284
Albania,Kiribati,visa required,0,285
Albania,Kosovo,-1,0,286
Albania,Kuwait,visa required,0,287
Albania,Kyrgyzstan,-1,0,288
Albania,Laos,visa on arrival,30,289
Albania,Latvia,-1,0,290
Albania,Lebanon,visa required,0,291
Albania,Lesotho,e-visa,14,292
Albania,Liberia,visa required,0,293
Albania,Libya,visa required,0,294
Albania,Liechtenstein,-1,0,295
Albania,Lithuania,-1,0,296
Albania,Luxembourg,-1,0,297
Albania,Macao,-1,0,298
Albania,Madagascar,visa on arrival,90,299
Albania,Malawi,visa on arrival,30,300
Albania,Malaysia,-1,0,301
Albania,Maldives,visa on arrival,30,302
Albania,Mali,visa required,0,303
Albania,Malta,-1,0,304
Albania,Marshall Islands,visa required,0,305
Albania,Mauritania,visa on arrival,0,306
Albania,Mauritius,visa on arrival,60,307
Albania,Mexico,visa required,0,308
Albania,Moldova,-1,0,309
Albania,Monaco,-1,0,310
Albania,Mongolia,e-visa,0,311
Albania,Montenegro,-1,0,312
Albania,Morocco,visa required,0,313
Albania,Mozambique,visa on arrival,30,314
Albania,Myanmar,e-visa,0,315
Albania,Namibia,visa required,0,316
Albania,Nauru,visa required,0,317
Albania,Nepal,visa on arrival,150,318
Albania,Netherlands,-1,0,319
Albania,New Zealand,visa required,0,320
Albania,Nicaragua,visa required,0,321
Albania,Niger,visa required,0,322
Albania,Nigeria,e-visa,0,323
Albania,North Korea,visa required,0,324
Albania,North Macedonia,-1,0,325
Albania,Norway,-1,0,326
Albania,Oman,e-visa,0,327
Albania,Pakistan,e-visa,0,328
Albania,Palau,visa on arrival,30,329
Albania,Palestine,visa free,0,330
Albania,Panama,visa required,0,331
Albania,Papua New Guinea,e-visa,0,332
Albania,Paraguay,visa required,0,333
Albania,Peru,visa required,0,334
Albania,Philippines,visa required,0,335
Albania,Poland,-1,0,336
Albania,Portugal,-1,0,337
Albania,Qatar,visa required,0,338
Albania,Romania,-1,0,339
Albania,Russia,visa required,0,340
Albania,Rwanda,-1,0,341
Albania,Saint Kitts and Nevis,e-visa,0,342
Albania,Saint Lucia,visa required,0,343
Albania,Samoa,visa on arrival,90,344
Albania,San Marino,-1,0,345
Albania,Sao Tome and Principe,e-visa,0,346
Albania,Saudi Arabia,visa on arrival,90,347
Albania,Senegal,visa required,0,348
Albania,Serbia,-1,0,349
Albania,Sierra Leone,e-visa,0,350
Albania,Singapore,-1,0,351
Albania,Slovakia,-1,0,352
Albania,Slovenia,-1,0,353
Albania,Solomon Islands,visa required,0,354
Albania,Somalia,visa required,0,355
Albania,South Africa,e-visa,0,356
Albania,South Korea,e-visa,30,357
Albania,South Sudan,e-visa,0,358
Albania,Spain,-1,0,359
Albania,Sri Lanka,e-visa,30,360
Albania,Saint Vincent and the Grenadines,-1,0,361
Albania,Sudan,visa required,0,362
Albania,Suriname,visa required,90,363
Albania,Sweden,-1,0,364
Albania,Switzerland,-1,0,365
Albania,Syria,visa required,0,366
Albania,Taiwan,visa required,0,367
Albania,Tajikistan,e-visa,0,368
Albania,Tanzania,visa on arrival,0,369
Albania,Thailand,e-visa,0,370
Albania,Timor-Leste,visa on arrival,30,371
Albania,Togo,visa on arrival,15,372
Albania,Tonga,visa required,0,373
Albania,Trinidad and Tobago,-1,0,374
Albania,Tunisia,visa required,0,375
Albania,Turkmenistan,visa required,0,376
Albania,Tuvalu,visa on arrival,30,377
Albania,Turkey,-1,0,378
Albania,Uganda,e-visa,0,379
Albania,Ukraine,-1,0,380
Albania,United Arab Emirates,-1,0,381
Albania,United Kingdom,visa required,0,382
Albania,United States,visa required,0,383
Albania,Uruguay,visa required,0,384
Albania,Uzbekistan,e-visa,30,385
Albania,Vanuatu,visa required,0,386
Albania,Vatican,-1,0,387
Albania,Venezuela,visa required,0,388
Albania,Vietnam,e-visa,90,389
Albania,Yemen,visa required,0,390
Albania,Zambia,visa on arrival,90,391
Albania,Zimbabwe,visa on arrival,90,392
Albania,Afghanistan,visa required,0,393
Albania,Dominica,-1,0,394
Albania,Haiti,-1,0,395
Albania,Seychelles,-1,0,396
Algeria,Albania,e-visa,0,397
Algeria,Algeria,-1,0,398
Algeria,Andorra,visa required,0,399
Algeria,Angola,-1,0,400
Algeria,Antigua and Barbuda,e-visa,0,401
Algeria,Argentina,visa required,0,402
Algeria,Armenia,e-visa,120,403
Algeria,Australia,e-visa,0,404
Algeria,Austria,visa required,0,405
Algeria,Azerbaijan,e-visa,30,406
Algeria,Bahamas,e-visa,0,407
Algeria,Bahrain,e-visa,0,408
Algeria,Bangladesh,visa required,0,409
Algeria,Barbados,-1,0,410
Algeria,Belarus,visa required,0,411
Algeria,Belgium,visa required,0,412
Algeria,Belize,visa required,0,413
Algeria,Benin,-1,0,414
Algeria,Bhutan,e-visa,0,415
Algeria,Bolivia,visa on arrival,90,416
Algeria,Bosnia and Herzegovina,visa required,0,417
Algeria,Botswana,e-visa,0,418
Algeria,Brazil,visa required,0,419
Algeria,Brunei,visa required,0,420
Algeria,Bulgaria,visa required,0,421
Algeria,Burkina Faso,e-visa,0,422
Algeria,Burundi,visa on arrival,30,423
Algeria,Cambodia,visa on arrival,30,424
Algeria,Cameroon,e-visa,0,425
Algeria,Canada,visa required,0,426
Algeria,Cape Verde,visa on arrival,0,427
Algeria,Central African Republic,visa required,0,428
Algeria,Chad,visa required,0,429
Algeria,Chile,visa required,0,430
Algeria,China,visa required,0,431
Algeria,Colombia,e-visa,0,432
Algeria,Comoros,visa on arrival,45,433
Algeria,Congo,visa required,0,434
Algeria,DR Congo,e-visa,90,435
Algeria,Costa Rica,visa required,0,436
Algeria,Ivory Coast,e-visa,90,437
Algeria,Croatia,visa required,0,438
Algeria,Cuba,visa required,30,439
Algeria,Cyprus,visa required,0,440
Algeria,Czech Republic,visa required,0,441
Algeria,Denmark,visa required,0,442
Algeria,Djibouti,e-visa,90,443
Algeria,Dominican Republic,visa required,0,444
Algeria,Ecuador,-1,0,445
Algeria,Egypt,visa required,0,446
Algeria,El Salvador,e-visa,0,447
Algeria,Equatorial Guinea,e-visa,0,448
Algeria,Eritrea,visa required,0,449
Algeria,Estonia,visa required,0,450
Algeria,Swaziland,visa required,0,451
Algeria,Ethiopia,visa on arrival,90,452
Algeria,Fiji,visa required,0,453
Algeria,Finland,visa required,0,454
Algeria,France,visa required,0,455
Algeria,Gabon,e-visa,90,456
Algeria,Gambia,-1,0,457
Algeria,Georgia,e-visa,0,458
Algeria,Germany,visa required,0,459
Algeria,Ghana,visa on arrival,30,460
Algeria,Greece,visa required,0,461
Algeria,Grenada,visa required,0,462
Algeria,Guatemala,visa required,0,463
Algeria,Guinea,visa free,0,464
Algeria,Guinea-Bissau,visa on arrival,90,465
Algeria,Guyana,visa required,0,466
Algeria,Honduras,visa required,0,467
Algeria,Hong Kong,-1,0,468
Algeria,Hungary,visa required,0,469
Algeria,Iceland,visa required,0,470
Algeria,India,visa required,0,471
Algeria,Indonesia,e-visa,0,472
Algeria,Iran,visa on arrival,30,473
Algeria,Iraq,visa required,0,474
Algeria,Ireland,visa required,0,475
Algeria,Israel,visa required,0,476
Algeria,Italy,visa required,0,477
Algeria,Jamaica,visa required,0,478
Algeria,Japan,visa required,0,479
Algeria,Jordan,visa on arrival,30,480
Algeria,Kazakhstan,e-visa,0,481
Algeria,Kenya,e-visa,90,482
Algeria,Kiribati,visa required,0,483
Algeria,Kosovo,visa required,0,484
Algeria,Kuwait,visa required,0,485
Algeria,Kyrgyzstan,e-visa,0,486
Algeria,Laos,visa required,0,487
Algeria,Latvia,visa required,0,488
Algeria,Lebanon,visa on arrival,30,489
Algeria,Lesotho,e-visa,14,490
Algeria,Liberia,visa required,0,491
Algeria,Libya,visa required,0,492
Algeria,Liechtenstein,visa required,0,493
Algeria,Lithuania,visa required,0,494
Algeria,Luxembourg,visa required,0,495
Algeria,Macao,visa on arrival,30,496
Algeria,Madagascar,visa on arrival,90,497
Algeria,Malawi,e-visa,90,498
Algeria,Malaysia,-1,0,499
Algeria,Maldives,visa on arrival,30,500
Algeria,Mali,-1,0,501
Algeria,Malta,visa required,0,502
Algeria,Marshall Islands,visa required,0,503
Algeria,Mauritania,-1,0,504
Algeria,Mauritius,visa on arrival,14,505
Algeria,Mexico,visa required,0,506
Algeria,Moldova,e-visa,0,507
Algeria,Monaco,visa required,0,508
Algeria,Mongolia,visa required,0,509
Algeria,Montenegro,visa required,0,510
Algeria,Morocco,-1,0,511
Algeria,Mozambique,visa on arrival,30,512
Algeria,Myanmar,e-visa,0,513
Algeria,Namibia,visa required,0,514
Algeria,Nauru,visa required,0,515
Algeria,Nepal,visa on arrival,150,516
Algeria,Netherlands,visa required,0,517
Algeria,New Zealand,visa required,0,518
Algeria,Nicaragua,visa on arrival,30,519
Algeria,Niger,visa required,0,520
Algeria,Nigeria,visa on arrival,0,521
Algeria,North Korea,visa required,0,522
Algeria,North Macedonia,visa required,0,523
Algeria,Norway,visa required,0,524
Algeria,Oman,e-visa,0,525
Algeria,Pakistan,e-visa,0,526
Algeria,Palau,visa on arrival,30,527
Algeria,Palestine,visa free,0,528
Algeria,Panama,visa required,0,529
Algeria,Papua New Guinea,e-visa,0,530
Algeria,Paraguay,visa required,0,531
Algeria,Peru,visa required,0,532
Algeria,Philippines,visa required,0,533
Algeria,Poland,visa required,0,534
Algeria,Portugal,visa required,0,535
Algeria,Qatar,visa required,0,536
Algeria,Romania,visa required,0,537
Algeria,Russia,visa required,0,538
Algeria,Rwanda,-1,0,539
Algeria,Saint Kitts and Nevis,e-visa,0,540
Algeria,Saint Lucia,visa required,0,541
Algeria,Samoa,visa on arrival,90,542
Algeria,San Marino,visa required,0,543
Algeria,Sao Tome and Principe,e-visa,0,544
Algeria,Saudi Arabia,visa required,0,545
Algeria,Senegal,visa on arrival,30,546
Algeria,Serbia,visa required,0,547
Algeria,Sierra Leone,e-visa,0,548
Algeria,Singapore,e-visa,0,549
Algeria,Slovakia,visa required,0,550
Algeria,Slovenia,visa required,0,551
Algeria,Solomon Islands,visa required,0,552
Algeria,Somalia,visa required,0,553
Algeria,South Africa,e-visa,0,554
Algeria,South Korea,e-visa,0,555
Algeria,South Sudan,e-visa,0,556
Algeria,Spain,visa required,0,557
Algeria,Sri Lanka,e-visa,30,558
Algeria,Saint Vincent and the Grenadines,-1,0,559
Algeria,Sudan,visa required,0,560
Algeria,Suriname,visa required,90,561
Algeria,Sweden,visa required,0,562
Algeria,Switzerland,visa required,0,563
Algeria,Syria,visa free,0,564
Algeria,Taiwan,visa required,0,565
Algeria,Tajikistan,visa on arrival,45,566
Algeria,Tanzania,visa on arrival,0,567
Algeria,Thailand,e-visa,0,568
Algeria,Timor-Leste,visa on arrival,30,569
Algeria,Togo,visa on arrival,15,570
Algeria,Tonga,visa required,0,571
Algeria,Trinidad and Tobago,visa required,0,572
Algeria,Tunisia,-1,0,573
Algeria,Turkmenistan,visa required,0,574
Algeria,Tuvalu,visa on arrival,30,575
Algeria,Turkey,visa required,0,576
Algeria,Uganda,e-visa,0,577
Algeria,Ukraine,visa required,0,578
Algeria,United Arab Emirates,visa required,0,579
Algeria,United Kingdom,visa required,0,580
Algeria,United States,visa required,0,581
Algeria,Uruguay,visa required,0,582
Algeria,Uzbekistan,e-visa,30,583
Algeria,Vanuatu,visa required,0,584
Algeria,Vatican,visa required,0,585
Algeria,Venezuela,visa required,0,586
Algeria,Vietnam,e-visa,90,587
Algeria,Yemen,visa on arrival,30,588
Algeria,Zambia,e-visa,0,589
Algeria,Zimbabwe,visa on arrival,90,590
Algeria,Afghanistan,visa required,0,591
Algeria,Dominica,-1,0,592
Algeria,Haiti,-1,0,593
Algeria,Seychelles,-1,0,594
Andorra,Albania,-1,0,595
Andorra,Algeria,visa required,0,596
Andorra,Andorra,-1,0,597
Andorra,Angola,visa required,0,598
Andorra,Antigua and Barbuda,-1,0,599
Andorra,Argentina,-1,0,600
Andorra,Armenia,-1,0,601
Andorra,Australia,e-visa,90,602
Andorra,Austria,-1,0,603
Andorra,Azerbaijan,e-visa,30,604
Andorra,Bahamas,-1,0,605
Andorra,Bahrain,visa on arrival,30,606
Andorra,Bangladesh,visa on arrival,30,607
Andorra,Barbados,-1,0,608
Andorra,Belarus,-1,0,609
Andorra,Belgium,-1,0,610
Andorra,Belize,visa free,0,611
Andorra,Benin,e-visa,0,612
Andorra,Bhutan,e-visa,0,613
Andorra,Bolivia,-1,0,614
Andorra,Bosnia and Herzegovina,-1,0,615
Andorra,Botswana,e-visa,0,616
Andorra,Brazil,-1,0,617
Andorra,Brunei,visa required,0,618
Andorra,Bulgaria,-1,0,619
Andorra,Burkina Faso,e-visa,0,620
Andorra,Burundi,visa on arrival,30,621
Andorra,Cambodia,visa on arrival,30,622
Andorra,Cameroon,e-visa,0,623
Andorra,Canada,e-visa,180,624
Andorra,Cape Verde,-1,0,625
Andorra,Central African Republic,visa required,0,626
Andorra,Chad,visa required,0,627
Andorra,Chile,-1,0,628
Andorra,China,visa required,0,629
Andorra,Colombia,-1,0,630
Andorra,Comoros,visa on arrival,45,631
Andorra,Congo,visa required,0,632
Andorra,DR Congo,e-visa,90,633
Andorra,Costa Rica,-1,0,634
Andorra,Ivory Coast,e-visa,90,635
Andorra,Croatia,-1,0,636
Andorra,Cuba,visa required,30,637
Andorra,Cyprus,-1,0,638
Andorra,Czech Republic,-1,0,639
Andorra,Denmark,-1,0,640
Andorra,Djibouti,e-visa,90,641
Andorra,Dominican Republic,visa free,0,642
Andorra,Ecuador,-1,0,643
Andorra,Egypt,visa on arrival,30,644
Andorra,El Salvador,-1,0,645
Andorra,Equatorial Guinea,e-visa,0,646
Andorra,Eritrea,visa required,0,647
Andorra,Estonia,-1,0,648
Andorra,Swaziland,-1,0,649
Andorra,Ethiopia,e-visa,90,650
Andorra,Fiji,visa required,0,651
Andorra,Finland,-1,0,652
Andorra,France,-1,0,653
Andorra,Gabon,e-visa,90,654
Andorra,Gambia,-1,0,655
Andorra,Georgia,-1,0,656
Andorra,Germany,-1,0,657
Andorra,Ghana,visa required,0,658
Andorra,Greece,-1,0,659
Andorra,Grenada,visa required,0,660
Andorra,Guatemala,-1,0,661
Andorra,Guinea,e-visa,90,662
Andorra,Guinea-Bissau,visa on arrival,90,663
Andorra,Guyana,visa required,0,664
Andorra,Honduras,-1,0,665
Andorra,Hong Kong,-1,0,666
Andorra,Hungary,-1,0,667
Andorra,Iceland,-1,0,668
Andorra,India,e-visa,30,669
Andorra,Indonesia,visa on arrival,30,670
Andorra,Iran,visa on arrival,30,671
Andorra,Iraq,visa required,0,672
Andorra,Ireland,-1,0,673
Andorra,Israel,-1,0,674
Andorra,Italy,-1,0,675
Andorra,Jamaica,visa on arrival,30,676
Andorra,Japan,-1,0,677
Andorra,Jordan,visa on arrival,0,678
Andorra,Kazakhstan,e-visa,0,679
Andorra,Kenya,e-visa,90,680
Andorra,Kiribati,visa required,0,681
Andorra,Kosovo,-1,0,682
Andorra,Kuwait,visa on arrival,90,683
Andorra,Kyrgyzstan,visa on arrival,60,684
Andorra,Laos,visa on arrival,30,685
Andorra,Latvia,-1,0,686
Andorra,Lebanon,visa on arrival,30,687
Andorra,Lesotho,e-visa,14,688
Andorra,Liberia,visa required,0,689
Andorra,Libya,visa required,0,690
Andorra,Liechtenstein,-1,0,691
Andorra,Lithuania,-1,0,692
Andorra,Luxembourg,-1,0,693
Andorra,Macao,-1,0,694
Andorra,Madagascar,visa on arrival,90,695
Andorra,Malawi,visa on arrival,30,696
Andorra,Malaysia,-1,0,697
Andorra,Maldives,visa on arrival,30,698
Andorra,Mali,visa required,0,699
Andorra,Malta,-1,0,700
Andorra,Marshall Islands,visa on arrival,90,701
Andorra,Mauritania,visa on arrival,0,702
Andorra,Mauritius,visa on arrival,60,703
Andorra,Mexico,-1,0,704
Andorra,Moldova,-1,0,705
Andorra,Monaco,-1,0,706
Andorra,Mongolia,e-visa,0,707
Andorra,Montenegro,-1,0,708
Andorra,Morocco,-1,0,709
Andorra,Mozambique,visa on arrival,30,710
Andorra,Myanmar,visa required,0,711
Andorra,Namibia,visa required,0,712
Andorra,Nauru,visa required,0,713
Andorra,Nepal,visa on arrival,150,714
Andorra,Netherlands,-1,0,715
Andorra,New Zealand,e-visa,90,716
Andorra,Nicaragua,-1,0,717
Andorra,Niger,visa required,0,718
